연령,성별,에너지(kcal),단백질(g),식이섬유(g),비타민 A(㎍ RAE),비타민 C(mg),티아민(mg),리보플라빈(mg),니아신(mg),칼슘(mg),나트륨(mg),철(mg)
15-18세,남성,2700,55,25,480,110,1.3,1.7,30,900,1500,15
15-18세,여성,2000,45,20,339,100,1.0,1.2,30,800,1500,17
19-29세,남성,2600,55,25,424,100,1.2,1.5,35,750,1500,10
19-29세,여성,2100,50,20,367,100,1.1,1.2,35,650,1500,14
30-49세,남성,2400,55,25,424,100,1.2,1.5,35,750,1500,10
30-49세,여성,1900,45,20,367,100,1.1,1.2,35,650,1500,14
50-64세,남성,2200,50,25,396,100,1.2,1.5,35,700,1400,9
50-64세,여성,1800,45,20,339,100,1.1,1.2,35,700,1400,8
65-74세,남성,2000,50,25,396,100,1.2,1.5,35,700,1200,9
65-74세,여성,1600,45,20,339,100,1.1,1.2,35,700,1200,8
75세 이상,남성,2000,50,25,396,100,1.2,1.5,35,700,1100,9
75세 이상,여성,1600,45,20,339,100,1.1,1.2,35,700,1100,8